stop_id,stop_name,stop_lat,stop_lon,platform_code,parent_station,location_type
7015400,London Saint Pancras International,51.5310399,-0.1260606,,,1
7015400:0,London Saint Pancras International,51.5310399,-0.1260606,,7015400,0
7015440,Ebbsfleet International,51.44304,0.32107,,,1
7015440:0,Ebbsfleet International,51.44304,0.32107,,7015440,0
8008094,Düsseldorf Hbf,51.219962,6.794319,,,1
8008094:0,Düsseldorf Hbf,51.219962,6.794319,,8008094,0
8010184,Essen Hbf,51.451355,4.4512862,,,1
8010184:0,Essen Hbf,51.451355,4.4512862,,8010184,0
8010316,Duisburg Hbf,51.42978,6.7759037,,,1
8010316:0,Duisburg Hbf,51.42978,6.7759037,,8010316,0
8011068,Frankfurt am Main Hbf,50.1071318,8.6653708,,,1
8011068:0,Frankfurt am Main Hbf,50.1071318,8.6653708,,8011068,0
8011090,Frankfurt am Main Flughafen,50.051696,8.569853,,,1
8011090:0,Frankfurt am Main Flughafen,50.051696,8.569853,,8011090,0
8015345,Aachen Hbf,50.770832,6.105275,,,1
8015345:0,Aachen Hbf,50.770832,6.105275,,8015345,0
8015458,Köln Hbf,50.942721,6.958823,,,1
8015458:0,Köln Hbf,50.942721,6.958823,,8015458,0
8015588,Siegburg,50.793916,7.203029,,,1
8015588:0,Siegburg,50.793916,7.203029,,8015588,0
8032572,Limburg Süd,50.3825,8.096112,,,1
8032572:0,Limburg Süd,50.3825,8.096112,,8032572,0
8039904,Düsseldorf Flughafen Hbf,51.292008,6.786837,,,1
8039904:0,Düsseldorf Flughafen Hbf,51.292008,6.786837,,8039904,0
8200100,Lëtzebuerg,49.599996,6.133331,,,1
8200100:0,Lëtzebuerg,49.599996,6.133331,,8200100,0
8200110,Mersch,49.748893,6.106111,,,1
8200110:0,Mersch,49.748893,6.106111,,8200110,0
8200120,Ettelbréck,49.847496,6.104169,,,1
8200120:0,Ettelbréck,49.847496,6.104169,,8200120,0
8200130,Kautebaach,49.9486113,6.020003,,,1
8200130:0,Kautebaach,49.9486113,6.020003,,8200130,0
8200132,Wilwerwiltz,49.988887,5.999166,,,1
8200132:0,Wilwerwiltz,49.988887,5.999166,,8200132,0
8200133,Drauffelt,50.017778,6.006106,,,1
8200133:0,Drauffelt,50.017778,6.006106,,8200133,0
8200134,Clervaux,50.054724,6.031393,,,1
8200134:0,Clervaux,50.054724,6.031393,,8200134,0
8200136,Troisvierges,50.121109,6.000281,,,1
8200136:0,Troisvierges,50.121109,6.000281,,8200136,0
8200510,Bertrange Strassen,49.613002,6.060601,,,1
8200510:0,Bertrange Strassen,49.613002,6.060601,,8200510,0
8200516,Mamer,49.625663,6.02014,,,1
8200516:0,Mamer,49.625663,6.02014,,8200516,0
